CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1455	1486	2	0.9048	-40.030
374	1255	2	0.9098	-341.132
313	1830	2	0.9174	0.000
1723	2242	2	0.7835	-42.010
240	365	2	0.9932	0.000
385	1321	2	0.7831	12.983
1455	1492	2	0.8649	-2.014
240	1256	2	0.9953	0.000
263	374	2	0.9665	-0.000
1483	1607	2	0.8899	141.019
1433	1607	2	0.9516	0.001
1607	2085	2	0.7861	-127.003
1492	2573	2	0.8938	28.031
1433	1680	2	0.9872	0.000
1492	1725	2	0.8346	168.143
326	381	2	0.8439	-14.016
269	368	2	0.9552	179.080
365	2528	2	0.9321	0.001
353	384	2	0.8491	-0.000
1483	2084	2	0.9461	28.031
292	368	2	0.9268	341.133
285	353	2	0.8425	2.016
292	1265	2	0.9019	-2.015
313	2528	2	0.9351	0.001
1462	2555	2	0.907	0.000
313	365	2	0.9487	-0.000
1455	2573	2	0.8389	26.017
336	1433	2	0.7817	-334.250
376	1435	2	0.9403	0.000
1460	2428	2	0.8362	-70.082
312	1725	2	0.8069	162.053
1463	1486	2	0.9115	-26.015
1459	1897	2	0.8659	0.000
313	1435	2	0.9476	0.000
370	374	2	0.8113	-0.001
328	376	2	0.9941	0.000
240	1434	2	0.9371	0.000
328	1435	2	0.9441	0.000
2091	2097	2	0.8037	451.269
1232	1268	2	0.9167	-28.032
353	367	2	0.8425	-2.016
1723	2490	2	0.9185	-13.979
1232	1255	2	0.9617	-162.053
1607	2084	2	0.8558	-112.988
367	2259	2	0.8152	-4.032
1680	2084	2	0.8775	-112.988
368	1483	2	0.8252	-123.009
328	365	2	0.9445	-0.000
1483	1680	2	0.8556	141.019
326	378	2	0.8772	0.000
1463	1483	2	0.9003	-24.000
307	1459	2	0.8599	4.031
311	365	2	0.9067	18.010
263	2093	2	0.8375	-28.032
1460	1466	2	0.8421	2.015
1433	2070	2	0.9978	-0.000
367	381	2	0.8462	62.036
263	1459	2	0.9375	2.016
2551	2566	2	0.8377	-26.015
1321	1723	2	0.7835	1.032
1455	2085	2	0.9118	-23.999
1452	2550	2	0.8525	-2.016
384	2088	2	0.9013	-179.080
368	1897	2	0.8279	4.031
311	1492	2	0.8517	-347.221
269	1268	2	0.9168	-26.016
316	1723	2	0.8343	14.016
307	1607	2	0.8395	18.011
328	1830	2	0.9232	0.000
385	2257	2	0.8225	30.010
326	1717	2	0.8489	0.000
1452	2084	2	0.8223	-24.000
1763	2070	2	0.8497	4.030
278	2088	2	0.7952	-239.100
381	1482	2	0.7857	16.031
285	2097	2	0.9231	92.047
240	251	2	0.9007	-18.010
1278	2528	2	0.937	0.001
365	376	2	0.9433	0.000
2070	2084	2	0.8751	-112.987
365	1434	2	0.9409	0.000
316	2260	2	0.8756	30.012
365	1278	2	0.9987	0.000
365	1256	2	0.9977	0.000
311	1296	2	0.906	0.000
1463	2551	2	0.8394	-14.015
1492	2085	2	0.7884	-21.985
336	2070	2	0.7868	-334.251
1268	2093	2	0.8365	179.079
311	1435	2	0.8896	18.011
240	1435	2	0.9416	0.000
803	2555	2	0.7872	-2.015
385	2260	2	0.8759	30.011
1486	2249	2	0.8664	42.046
1455	2550	2	0.8447	12.000
803	1466	2	0.8824	14.016
285	381	2	0.8496	62.036
251	1492	2	0.8522	-347.221
1607	1763	2	0.8399	-4.031
307	2093	2	0.8981	-26.016
374	1897	2	0.8828	2.017
2259	2567	2	0.8981	92.048
367	2490	2	0.8353	60.057
1607	2070	2	0.9537	-0.001
1462	2246	2	0.7963	-26.016
1452	1492	2	0.9281	-16.030
269	292	2	0.9923	-162.052
328	1434	2	0.9401	0.000
285	385	2	0.8183	60.021
1296	1779	2	0.9044	-28.032
1452	1455	2	0.9127	-14.016
376	1830	2	0.9061	0.000
1455	2379	2	0.7888	-26.016
353	2088	2	0.8482	-179.080
367	385	2	0.8274	60.021
285	2259	2	0.8123	-4.031
1288	2103	2	0.8262	-28.032
311	1256	2	0.8965	18.010
313	328	2	0.998	0.000
370	1897	2	0.797	2.016
367	2097	2	0.9225	92.047
316	1321	2	0.7875	12.984
1486	2254	2	0.8986	80.098
1321	2260	2	0.7925	17.027
1455	1463	2	0.8917	-14.016
2550	2573	2	0.9375	14.017
1723	2260	2	0.8846	15.996
374	1232	2	0.9524	-179.079
2088	2090	2	0.8298	-2.015
311	1779	2	0.8815	-28.031
307	1483	2	0.8183	-123.009
1486	2566	2	0.809	-14.016
1452	2085	2	0.7909	-38.015
313	1278	2	0.9522	0.000
1462	2428	2	0.8187	-56.066
1455	2551	2	0.8276	-28.031
1452	2573	2	0.8257	12.001
251	1434	2	0.8805	18.011
240	311	2	0.9007	-18.010
1433	1483	2	0.869	-141.019
269	1232	2	0.9623	2.016
