CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
651	913	16	0.9933	0.001
681	828	16	0.9947	0.000
652	1021	16	0.996	0.001
832	1021	16	0.9901	0.001
655	917	16	0.9902	0.000
653	661	16	0.9927	0.000
661	1416	16	0.9939	0.000
681	912	16	0.9956	0.000
663	912	16	0.9888	-0.000
652	824	16	0.9918	-0.000
653	656	16	0.9933	-0.000
661	664	16	0.9929	-0.000
663	666	16	0.9897	0.000
663	837	16	0.9913	-0.001
653	655	16	0.9927	0.000
651	824	16	0.9915	0.000
655	828	16	0.99	0.000
1416	1925	16	0.9924	0.000
654	664	16	0.9875	-0.000
653	1416	16	0.9933	0.000
647	661	16	0.9945	0.000
678	680	16	0.9798	0.000
824	837	16	0.9918	0.000
824	1020	16	0.9907	0.001
647	654	16	0.9899	0.000
911	913	16	0.9922	0.000
681	685	16	0.989	0.000
677	685	16	0.9932	0.000
647	1416	16	0.9891	0.000
652	913	16	0.9954	0.000
651	1416	16	0.9964	0.001
651	654	16	0.9947	0.000
663	1021	16	0.9905	0.000
677	912	16	0.9891	0.000
655	661	16	0.9926	-0.000
666	677	16	0.9904	-0.001
661	1925	16	0.9925	0.000
677	1021	16	0.9909	0.001
685	828	16	0.991	0.000
653	832	16	0.9928	-0.000
830	908	16	0.9894	-0.000
654	835	16	0.9876	-0.000
677	828	16	0.9903	0.001
832	913	16	0.9968	0.000
663	677	16	0.9946	-0.001
665	678	16	0.9859	0.000
653	1021	16	0.9928	0.001
666	828	16	0.9897	-0.000
908	1021	16	0.9958	0.001
656	1925	16	0.9886	0.001
653	911	16	0.9939	0.000
664	917	16	0.9924	0.000
651	655	16	0.9919	0.001
677	908	16	0.9914	-0.000
647	655	16	0.9923	0.000
652	908	16	0.9931	-0.000
652	832	16	0.9936	0.000
982	984	17	0.9791	-0.000
982	1399	17	0.9023	0.000
1399	1400	17	0.8702	-0.000
985	1400	17	0.9521	0.000
984	986	17	0.9652	0.000
985	986	17	0.9377	0.000
982	986	17	0.9726	0.000
986	1399	17	0.8735	0.000
985	1399	17	0.8808	0.001
984	1400	17	0.9521	0.000
1014	1399	17	0.7011	2.014
982	1400	17	0.9612	-0.000
982	1014	17	0.715	-2.014
984	985	17	0.9483	-0.000
984	1014	17	0.7187	-2.014
984	1399	17	0.8938	0.000
986	1400	17	0.9553	-0.000
1025	1400	17	0.8374	2.014
982	985	17	0.9659	-0.000
2135	2432	18	0.851	-35.959
2176	2432	18	0.7684	-69.920
2135	2479	18	0.8926	-79.957
1787	1860	18	0.9816	-49.979
1787	1824	18	0.9379	32.026
1787	2427	18	0.8538	-35.896
2308	2426	18	0.8525	-147.879
2426	2479	18	0.9335	33.961
2172	2479	18	0.7456	-81.891
2135	2181	18	0.8226	15.950
1860	2427	18	0.8081	14.083
2172	2181	18	0.9768	14.016
1860	2308	18	0.8153	82.006
2128	2427	18	0.8272	45.996
2172	2176	18	0.9186	32.026
1787	2308	18	0.9364	32.027
2176	2479	18	0.7958	-113.917
1739	1860	18	0.8692	-16.018
2135	2176	18	0.9709	33.961
2128	2426	18	0.992	-33.961
1824	2176	18	0.8498	-0.000
1787	2172	18	0.8895	-0.000
2135	2308	18	0.9276	33.962
1824	2128	18	0.8388	-113.918
2128	2473	18	0.9488	-42.011
2426	2427	18	0.904	79.957
1860	2426	18	0.7673	-65.873
1739	1787	18	0.9258	33.961
2308	2427	18	0.9762	-67.922
2473	2477	18	0.8936	79.957
2135	2477	18	0.8987	-42.011
2176	2308	18	0.8565	0.001
1824	2308	18	0.9897	0.001
1824	2427	18	0.9712	-67.922
1860	2432	18	0.7617	12.085
1739	2427	18	0.8059	-1.935
1787	2181	18	0.8862	14.015
2181	2479	18	0.7508	-95.907
1739	2432	18	0.773	-3.933
1824	1860	18	0.8101	-82.005
2308	2432	18	0.9132	-69.921
1787	2135	18	0.8163	-1.935
1739	2308	18	0.8328	65.988
1739	2128	18	0.9141	-47.931
1824	2432	18	0.9215	-69.920
2128	2308	18	0.8473	113.918
1824	2135	18	0.922	-33.961
1787	2432	18	0.8064	-37.894
2473	2479	18	0.9154	42.011
2176	2427	18	0.8289	-67.921
2135	2427	18	0.9068	-33.961
2426	2432	18	0.7923	77.958
2128	2432	18	0.7751	43.997
1787	2176	18	0.8245	32.026
1739	1824	18	0.8306	65.987
2128	2135	18	0.8573	79.957
2128	2479	18	0.9425	0.000
2427	2432	18	0.9318	-1.999
1860	2172	18	0.8976	49.979
2176	2181	18	0.9357	-18.010
1739	2172	18	0.8144	33.961
1824	2426	18	0.8494	-147.878
1739	2479	18	0.8568	-47.930
2500	2507	19	0.9538	-44.026
2502	2507	19	0.9609	-88.052
1819	2512	19	0.9298	26.016
2495	2505	19	0.8963	-176.104
2389	2505	19	0.9132	-44.026
2481	2508	19	0.955	88.053
2505	2512	19	0.8005	-68.135
2194	2502	19	0.913	54.047
2495	2508	19	0.8205	-68.135
2496	2501	19	0.9621	-88.053
2389	2501	19	0.8394	-68.135
2387	2503	19	0.8224	-220.128
2501	2512	19	0.9589	-44.026
2512	2579	19	0.8907	28.031
2508	2512	19	0.9385	-176.105
2501	2507	19	0.9577	28.032
2481	2501	19	0.968	-44.026
1819	2505	19	0.8276	94.151
2389	2507	19	0.8201	-40.104
2497	2504	19	0.9377	-88.053
2499	2504	19	0.9554	-44.026
2194	2496	19	0.9401	26.016
2507	2579	19	0.8986	-44.027
2194	2497	19	0.8114	108.167
2387	2495	19	0.7942	94.151
2481	2500	19	0.9484	28.032
2481	2499	19	0.8227	82.150
2194	2503	19	0.851	-176.102
1819	2194	19	0.9549	132.078
2389	2504	19	0.9358	14.015
2501	2504	19	0.7908	82.150
2387	2508	19	0.9043	26.016
2194	2387	19	0.9131	44.026
2496	2512	19	0.9404	-132.079
2496	2497	19	0.7876	82.151
2496	2502	19	0.9752	28.031
1819	2503	19	0.9101	-44.024
2504	2507	19	0.7819	-54.119
2501	2508	19	0.9627	132.079
1819	2387	19	0.8931	176.104
2500	2579	19	0.8912	-88.053
2481	2496	19	0.9564	44.027
2500	2502	19	0.9509	44.026
2481	2512	19	0.9555	-88.052
2497	2499	19	0.9567	-44.028
2496	2508	19	0.9651	44.026
2389	2495	19	0.933	132.079
496	2009	20	0.8934	-20.026
507	717	20	0.8339	162.054
512	646	20	0.8416	162.053
496	1912	20	0.7915	-162.043
1374	2009	20	0.8801	-2.014
1532	1912	20	0.8726	0.009
1162	2009	20	0.88	-18.021
906	1374	20	0.8755	-2.018
1398	2009	20	0.8658	8.003
507	532	20	0.904	-2.015
717	1374	20	0.8681	-18.012
499	717	20	0.9669	2.017
646	717	20	0.9703	2.017
507	1912	20	0.9208	0.011
1374	2008	20	0.8748	-15.994
512	532	20	0.9235	0.001
717	1398	20	0.9439	-28.029
646	1162	20	0.9743	0.011
1402	2008	20	0.7094	-5.974
1374	1402	20	0.8054	-10.020
646	1374	20	0.8699	-15.996
1398	2008	20	0.731	-5.977
717	1402	20	0.9315	-28.033
717	2011	20	0.7982	-18.011
512	1912	20	0.8894	2.026
512	1532	20	0.8506	2.017
507	512	20	0.9677	-2.016
507	1931	20	0.9324	-4.028
2008	2009	20	0.7835	13.980
1374	1398	20	0.8132	-10.017
496	1402	20	0.9445	-28.032
496	646	20	0.9696	-2.016
646	1398	20	0.9518	-26.013
906	2008	20	0.7566	-18.012
532	1532	20	0.8245	2.016
496	499	20	0.9674	-2.016
496	507	20	0.8322	-162.054
532	1912	20	0.8253	2.026
499	512	20	0.8354	-162.053
717	2009	20	0.8844	-20.026
499	1374	20	0.853	-15.996
717	1162	20	0.9378	-2.005
499	1402	20	0.9451	-26.016
532	1931	20	0.9123	-2.014
496	717	20	0.9786	0.000
1162	1398	20	0.9333	-26.024
499	646	20	0.9951	0.000
496	1374	20	0.8511	-18.012
496	1162	20	0.9436	-2.005
646	1402	20	0.9488	-26.016
1398	1402	20	0.8966	-0.003
499	1162	20	0.9715	0.011
1162	1402	20	0.9292	-26.027
1402	2009	20	0.8734	8.006
507	1532	20	0.9	0.002
499	2009	20	0.8937	-18.010
646	2009	20	0.8983	-18.010
1912	1931	20	0.8597	-4.039
906	2009	20	0.7143	-4.032
1532	1931	20	0.8386	-4.030
499	1398	20	0.9474	-26.013
1162	1374	20	0.8338	-16.007
512	1931	20	0.9694	-2.013
496	1398	20	0.9331	-28.029
1714	1735	21	0.8213	0.001
230	352	22	0.7528	4.026
194	290	22	0.9592	33.963
253	359	22	0.8205	46.038
194	323	22	0.7126	15.953
2183	2186	22	0.8185	-54.010
2183	2184	22	0.8703	-36.001
185	253	22	0.9501	14.015
185	230	22	0.7552	24.000
194	359	22	0.7879	18.042
230	253	22	0.8268	-9.985
2184	2186	22	0.8671	-18.009
230	323	22	0.9484	33.963
185	270	22	0.9312	78.010
194	270	22	0.905	36.000
290	2186	22	0.7245	-60.057
185	352	22	0.8584	28.026
2173	2186	22	0.7548	-4.029
185	194	22	0.8916	42.010
194	352	22	0.827	-13.984
253	270	22	0.9451	63.995
253	352	22	0.8629	14.012
2173	2184	22	0.8955	13.980
1788	2367	22	0.968	49.980
270	352	22	0.8883	-49.983
253	275	22	0.7589	19.945
270	359	22	0.8457	-17.957
275	290	22	0.8833	42.013
194	230	22	0.9733	-18.010
253	290	22	0.7608	61.958
352	359	22	0.8024	32.026
185	275	22	0.9534	33.960
230	359	22	0.7882	36.053
230	290	22	0.7152	51.973
2173	2183	22	0.9268	49.981
1788	2173	22	0.8459	85.052
323	2186	22	0.7332	-42.047
2183	2367	22	0.878	-85.053
230	270	22	0.7926	54.010
185	359	22	0.8178	60.052
275	323	22	0.7539	24.002
290	2184	22	0.7076	-42.048
290	323	22	0.9417	-18.010
194	253	22	0.8903	-27.995
1448	2081	23	0.8399	-28.031
1441	1488	23	0.9127	224.214
1447	2081	23	0.9345	-14.015
1468	1488	23	0.9017	238.229
1448	2092	23	0.8258	18.011
1481	2081	23	0.866	-268.239
354	1464	23	0.9566	15.994
1441	1447	23	0.9658	-15.995
1448	1468	23	0.8163	-12.036
1442	1481	23	0.9261	224.213
1464	1488	23	0.8689	196.183
1447	1448	23	0.9539	14.015
1481	1488	23	0.976	-14.015
1441	1481	23	0.8951	238.229
1448	1464	23	0.9176	30.011
1441	1448	23	0.9075	-1.980
1470	1479	23	0.9688	-14.016
1442	2248	23	0.8294	-94.078
1479	2450	23	0.8256	238.229
1442	1447	23	0.9307	-30.011
1441	1468	23	0.944	-14.015
1479	2239	23	0.8362	16.031
1470	2239	23	0.9655	2.016
1470	2450	23	0.8882	224.213
354	1442	23	0.9315	1.979
354	1447	23	0.9799	-28.032
1448	1488	23	0.8806	226.194
1488	2248	23	0.8487	-304.277
1447	2248	23	0.8158	-64.067
1464	2248	23	0.8394	-108.093
1442	1464	23	0.9608	14.015
1468	2248	23	0.823	-66.047
2239	2450	23	0.897	222.198
354	1481	23	0.9272	226.193
354	1441	23	0.879	-12.036
1442	1448	23	0.973	-15.995
1464	1468	23	0.815	-42.046
354	2248	23	0.8141	-92.099
1447	1464	23	0.8973	44.026
1488	2081	23	0.9272	-254.224
1479	2240	23	0.9597	2.015
1468	1479	23	0.8082	-43.006
1468	2081	23	0.9517	-15.995
1448	1481	23	0.9405	240.209
354	1448	23	0.9407	-14.016
1447	1468	23	0.9059	1.980
2239	2250	23	0.857	-107.005
1468	1481	23	0.8642	252.244
2081	2248	23	0.8236	-50.052
1441	2248	23	0.8279	-80.063
1442	1470	23	0.8296	-57.021
1464	1481	23	0.905	210.198
1441	2081	23	0.9459	-30.010
1442	1488	23	0.8649	210.198
354	1488	23	0.8832	212.178
1441	1442	23	0.9734	14.016
1447	1488	23	0.9203	240.209
1470	2240	23	0.8882	-12.000
1447	1481	23	0.935	254.224
2240	2450	23	0.8632	236.214
354	2081	23	0.8367	-42.047
1481	2248	23	0.8364	-318.292
2239	2240	23	0.9624	-14.016
1442	2081	23	0.8251	-44.026
1441	1464	23	0.9802	28.031
1464	2081	23	0.8259	-58.041
625	1579	24	0.9876	0.000
1495	2166	25	0.976	0.002
349	928	26	0.9369	-0.014
349	964	26	0.8975	-0.011
349	1567	26	0.8375	0.002
928	1567	26	0.7645	0.016
928	964	26	0.9174	0.003
2175	2366	27	0.8083	-35.076
2175	2177	27	0.9343	49.977
1792	2366	27	0.9344	49.979
1792	2175	27	0.9379	85.055
266	317	27	0.8978	-17.958
2174	2175	27	0.9271	4.033
266	330	27	0.8447	-47.998
207	273	27	0.9164	-9.985
1792	2177	27	0.8111	135.032
207	266	27	0.9251	54.009
205	317	27	0.8834	60.052
207	330	27	0.8145	6.011
2174	2366	27	0.797	-31.043
205	266	27	0.9444	78.010
2177	2366	27	0.9193	-85.053
1792	2174	27	0.7925	81.022
224	279	27	0.8959	-24.003
273	330	27	0.8189	15.997
273	317	27	0.8912	46.037
207	224	27	0.9314	33.965
2174	2177	27	0.9122	54.010
279	2175	27	0.8122	-14.014
205	273	27	0.928	14.015
317	330	27	0.8243	-30.040
207	317	27	0.8867	36.052
205	207	27	0.9317	24.000
205	279	27	0.8982	33.962
266	273	27	0.9281	-63.995
205	330	27	0.8193	30.012
1443	1454	28	0.7624	163.061
1443	1451	28	0.9073	15.993
1451	1454	28	0.8248	147.068
2078	2098	29	0.7735	-163.062
1368	2098	29	0.7602	163.065
2098	2383	29	0.7112	-186.081
1368	2383	29	0.9534	-23.016
1888	2386	30	0.8325	-56.065
1888	2384	30	0.8086	-2.017
1228	1720	30	0.9249	-26.016
1720	2386	30	0.7912	-2.016
1228	2388	30	0.9179	-2.015
1228	2384	30	0.7392	26.016
1507	2386	30	0.7449	-14.015
1888	2388	30	0.7414	-30.048
1228	1888	30	0.9081	28.033
2384	2388	30	0.7584	-28.031
2386	2388	30	0.739	26.016
1720	1888	30	0.8576	54.049
1228	2386	30	0.8483	-28.032
210	318	31	0.911	33.961
1440	1444	31	0.7148	14.015
1440	1770	31	0.8433	322.189
318	1444	31	0.7321	-54.084
1456	1770	31	0.8876	145.111
1440	1456	31	0.9409	177.078
210	222	31	0.9786	-33.961
222	318	31	0.9199	67.922
1360	1365	32	0.7156	-23.999
1359	1362	32	0.7771	63.993
1351	1357	32	0.8728	-24.000
1357	1371	32	0.7411	-35.976
1351	1360	32	0.9118	33.960
1351	1362	32	0.872	54.008
1351	1372	32	0.7074	-35.978
1357	1362	32	0.8804	78.008
1351	1359	32	0.7877	-9.985
1357	1359	32	0.8242	14.014
1357	1365	32	0.7569	33.961
201	320	34	0.8275	14.015
201	943	34	0.9313	-14.016
506	850	35	0.8504	-49.979
506	1052	35	0.9175	-0.001
1052	1118	35	0.8403	-54.010
850	1052	35	0.8059	49.978
506	1118	35	0.8444	-54.011
2470	2472	36	0.8913	18.012
2118	2126	36	0.8495	-18.011
2126	2130	36	0.9295	0.000
2129	2136	36	0.8908	-0.000
2118	2129	36	0.7168	-79.957
2118	2120	36	0.9788	0.001
2126	2470	36	0.9166	-63.973
2120	2130	36	0.8458	-18.011
2130	2470	36	0.9178	-63.973
2120	2129	36	0.7186	-79.957
2470	2482	36	0.8236	18.012
2472	2475	36	0.8545	-18.011
2118	2130	36	0.842	-18.010
2120	2482	36	0.8877	-63.972
2118	2482	36	0.8856	-63.972
2126	2475	36	0.8875	-63.972
2118	2136	36	0.7416	-79.957
2472	2482	36	0.9025	0.000
2475	2482	36	0.8185	18.011
2120	2472	36	0.956	-63.972
2130	2475	36	0.8998	-63.973
2470	2475	36	0.9109	0.001
2118	2472	36	0.955	-63.972
2120	2126	36	0.8485	-18.011
2120	2136	36	0.7393	-79.958
843	1939	37	0.9941	0.000
869	1170	37	0.995	0.000
484	1845	37	0.9939	0.000
1518	1939	37	0.995	0.000
484	1939	37	0.9944	0.000
843	1518	37	0.9932	0.000
1170	1195	37	0.9947	0.000
843	1845	37	0.9934	0.000
1195	1845	37	0.9944	0.000
843	869	37	0.9944	0.000
1518	1845	37	0.9944	0.000
623	1170	37	0.994	0.000
1939	1969	37	0.9955	0.000
1195	1518	37	0.9949	0.000
589	1939	37	0.9955	0.000
869	1969	37	0.9954	0.000
484	869	37	0.9944	0.000
1845	1969	37	0.994	0.000
623	1939	37	0.9954	0.000
484	1518	37	0.994	0.000
1170	1969	37	0.9938	0.000
589	1518	37	0.9948	0.000
623	1195	37	0.9951	0.000
869	1939	37	0.9957	0.000
484	1969	37	0.9936	0.000
1170	1518	37	0.9932	0.000
869	1845	37	0.9948	0.000
1170	1391	37	0.9932	0.000
623	1969	37	0.9947	0.000
843	1969	37	0.9932	0.000
484	1170	37	0.9936	0.000
623	1845	37	0.994	0.000
1391	1939	37	0.9945	0.000
589	1170	37	0.9944	0.000
1518	1969	37	0.9951	0.000
589	1195	37	0.9956	0.000
589	843	37	0.9945	0.000
1195	1939	37	0.9954	0.000
869	1195	37	0.9957	0.000
843	1195	37	0.9949	0.000
623	1518	37	0.9946	0.000
589	623	37	0.9961	0.000
589	1845	37	0.9944	0.000
589	869	37	0.9958	0.000
589	1969	37	0.9947	0.000
623	843	37	0.9937	0.000
484	623	37	0.9942	0.000
1170	1845	37	0.9933	0.000
484	589	37	0.9946	0.000
869	1518	37	0.9951	0.000
1170	1939	37	0.9942	0.000
843	1170	37	0.9932	0.000
484	843	37	0.9939	0.000
623	869	37	0.9957	0.000
484	1195	37	0.9946	0.000
1195	1969	37	0.9947	0.000
369	1293	38	0.8526	2.015
956	1855	39	0.9531	-49.979
1358	1940	40	0.9833	0.000
500	1358	40	0.9898	-0.000
1316	1634	40	0.9959	0.000
1358	2059	40	0.9775	0.000
497	1940	40	0.9866	-0.001
500	1316	40	0.9957	0.000
1316	1940	40	0.986	-0.001
497	722	40	0.9917	-0.001
722	1358	40	0.988	-0.000
1970	2059	40	0.9753	-0.001
497	500	40	0.9947	-0.000
722	1970	40	0.984	0.001
1316	2059	40	0.9797	-0.000
500	722	40	0.9961	-0.000
1634	2059	40	0.9806	-0.001
500	1970	40	0.9871	0.001
722	1634	40	0.9874	0.001
497	1970	40	0.9933	0.000
1548	1634	40	0.9718	-0.013
497	1316	40	0.9969	0.000
1358	1634	40	0.9908	0.001
497	1358	40	0.9957	-0.001
1316	1970	40	0.9895	0.000
1316	1358	40	0.9926	-0.001
1634	1970	40	0.9894	0.000
497	2059	40	0.9808	-0.000
1940	1970	40	0.982	0.001
1634	1940	40	0.983	-0.001
722	2059	40	0.9834	0.000
1940	2059	40	0.9738	0.000
500	1940	40	0.989	-0.000
497	1634	40	0.9946	0.000
722	1940	40	0.9848	-0.000
1358	1970	40	0.9901	0.001
500	2059	40	0.9824	0.000
722	1316	40	0.9913	0.001
500	1634	40	0.9919	0.001
1727	1740	42	0.7237	-134.110
347	372	45	0.8122	32.026
1271	1329	47	0.9863	290.209
1329	1728	47	0.9793	-348.250
1271	1728	47	0.9979	-58.042
327	966	48	0.7667	163.061
305	1437	48	0.7704	-162.054
327	944	48	0.7229	130.063
327	1437	48	0.9669	0.000
327	938	48	0.7897	163.061
966	1267	48	0.7259	1.008
356	944	48	0.8829	-15.995
966	1437	48	0.7359	-163.061
324	2506	48	0.7476	66.047
305	938	48	0.9229	1.007
324	1852	48	0.8212	-13.980
1281	1852	48	0.7286	-13.980
356	1437	48	0.7488	-146.058
1437	1692	48	0.7723	15.995
305	356	48	0.9563	-15.995
938	966	48	0.9119	-0.000
944	966	48	0.7908	32.998
938	1267	48	0.7251	1.008
305	327	48	0.7968	-162.054
324	1281	48	0.7492	0.000
938	1437	48	0.7681	-163.061
305	324	48	0.7417	151.111
327	1692	48	0.7784	15.995
327	356	48	0.7804	146.059
356	966	48	0.8653	17.002
356	938	48	0.9227	17.002
305	944	48	0.8948	-31.990
305	1896	48	0.7375	2.015
324	1262	48	0.7229	0.001
324	938	48	0.7506	-150.104
305	966	48	0.8731	1.007
938	944	48	0.8441	-32.998
938	1281	48	0.7473	150.104
940	1729	49	0.9369	0.001
940	1694	49	0.7296	14.016
1328	2245	50	0.9194	-56.063
1328	2255	50	0.8487	56.063
2245	2255	50	0.8063	112.126
1323	1328	50	0.9884	28.031
1323	2245	50	0.9282	-28.031
1323	2255	50	0.8395	84.094
885	1343	51	0.8047	-35.977
885	891	51	0.8015	6.962
1403	1997	52	0.8943	-63.980
1078	1079	52	0.7659	79.957
1997	2002	52	0.7277	79.957
1079	1090	52	0.8547	-0.000
1413	1997	52	0.8526	-63.976
1090	2002	52	0.8323	-63.973
1078	1997	52	0.9788	-63.973
1078	1413	52	0.8699	0.003
1078	1403	52	0.9088	0.008
1079	2002	52	0.9301	-63.973
1403	1413	52	0.8315	-0.004
1354	1355	53	0.8927	33.961
930	1263	54	0.8723	14.016
1254	2425	54	0.9703	-14.016
1264	1280	54	0.8364	18.010
1280	2425	54	0.7997	-14.016
1254	1263	54	0.791	-28.031
1254	1280	54	0.8843	-0.000
930	1688	54	0.8327	14.016
1802	2370	55	0.7362	-119.950
1821	2309	55	0.7935	58.007
1821	2368	55	0.7261	-115.064
1818	2368	55	0.7935	-55.992
1829	2368	55	0.8551	-1.980
1818	1821	55	0.9455	59.073
1794	1802	55	0.8355	-242.025
1812	2370	55	0.7052	-101.938
1818	1829	55	0.9105	-54.011
1794	2309	55	0.7779	103.065
1108	1109	56	0.743	-4.033
1108	1113	56	0.7162	49.979
1109	1113	56	0.748	54.012
1340	1342	57	0.792	2.016
1339	1340	57	0.7478	-18.011
1472	2436	58	0.983	28.032
235	968	59	0.7346	14.015
235	267	59	0.8026	-13.981
267	366	59	0.8901	14.016
315	2562	60	0.8234	-26.015
1432	2187	60	0.8117	-39.992
315	1432	60	0.8579	-18.010
1432	2244	60	0.7424	-74.001
491	530	61	0.7598	-35.977
505	594	61	0.836	-0.002
491	518	61	0.762	-35.976
505	530	61	0.7623	-35.978
505	518	61	0.7606	-35.977
491	594	61	0.8275	-0.001
491	505	61	0.9555	0.001
294	310	62	0.8349	-21.984
2150	2151	64	0.8666	0.000
2150	2152	64	0.902	0.000
2152	2163	64	0.9283	0.000
2150	2607	64	0.8769	0.000
2152	2607	64	0.911	0.000
2151	2152	64	0.8778	0.000
2163	2607	64	0.9027	0.000
2150	2163	64	0.8978	0.000
2151	2163	64	0.867	0.000
2151	2607	64	0.8601	0.000
1175	1180	65	0.9777	56.312
1457	1465	66	0.815	14.015
1465	2094	66	0.8249	-16.029
1457	2094	66	0.8643	-2.014
298	340	67	0.8938	14.018
1816	1822	68	0.9473	-176.104
1490	1816	68	0.9456	132.077
1490	1726	68	0.9686	44.026
1726	1816	68	0.9666	88.052
1726	1730	68	0.9835	44.026
1822	1827	68	0.9775	-44.026
1730	1816	68	0.9718	44.026
1730	1827	68	0.9631	-176.104
1816	1831	68	0.778	14.017
1490	1827	68	0.948	-88.053
1816	1827	68	0.9382	-220.130
1726	1822	68	0.9843	-88.052
1730	1822	68	0.981	-132.078
1490	1822	68	0.9609	-44.026
1490	1730	68	0.9655	88.051
1726	1827	68	0.9743	-132.078
791	833	69	0.9394	28.031
212	303	71	0.989	-21.984
389	2552	71	0.8486	-13.980
389	2083	71	0.9446	6.046
303	389	71	0.953	-4.031
212	1410	71	0.9336	-24.002
212	389	71	0.9458	-26.015
303	1410	71	0.9451	-2.018
303	2083	71	0.9923	2.014
1410	2083	71	0.9403	4.032
212	2083	71	0.992	-19.969
2121	2134	72	0.9689	0.001
1214	1538	73	0.7681	-163.064
1212	1538	73	0.8551	23.016
1499	2369	74	0.7083	-32.026
1501	2369	74	0.7044	-32.026
2556	2570	75	0.8405	176.036
1207	1221	80	0.9025	2.015
1150	1944	81	0.9749	-12.000
1136	1944	81	0.9781	-12.002
1136	1150	81	0.9771	-0.002
959	1697	82	0.8094	0.000
958	959	82	0.9104	-0.000
958	1697	82	0.8101	0.000
287	2219	83	0.9878	-0.000
1541	1547	84	0.9781	-14.016
1799	1810	85	0.8615	68.062
1828	2258	87	0.7836	280.237
949	1856	90	0.8882	-174.141
953	1856	90	0.7201	-202.172
302	949	90	0.9283	-45.058
302	953	90	0.9563	-17.026
949	953	90	0.9536	28.031
302	1856	90	0.7146	-219.199
282	955	91	0.7361	-13.979
2548	2559	93	0.9119	-32.027
789	816	101	0.9739	2.015
894	897	103	0.7639	2.016
183	232	105	0.978	14.016
1769	2145	108	0.8448	-44.025
1134	2317	112	0.7003	49.979
1085	1091	113	0.7426	-30.011
1085	1557	113	0.8049	-14.016
1082	1557	113	0.927	0.001
1082	1091	113	0.9038	-15.994
1091	1557	113	0.8679	15.995
1087	1543	113	0.8835	14.016
1085	1087	113	0.9231	-15.996
1087	1091	113	0.8119	-14.015
1087	1557	113	0.7242	1.980
1085	1543	113	0.8353	-1.980
1543	2048	113	0.9289	-0.000
1091	2048	113	0.9075	28.031
1085	2048	113	0.8049	-1.980
1091	1543	113	0.9536	28.031
1087	2048	113	0.8866	14.016
1082	1085	113	0.8892	14.016
1057	1065	118	0.9329	2.017
1057	1062	118	0.8189	-2.015
1062	1065	118	0.7883	4.032
1055	1210	119	0.9276	28.031
1055	1063	119	0.9868	-26.016
1215	1217	119	0.8814	28.031
1063	1217	119	0.9035	52.032
1074	1217	119	0.737	52.029
1210	1215	119	0.9156	-30.047
1063	1074	119	0.7857	0.003
1074	1220	119	0.8011	28.029
1210	1217	119	0.939	-2.016
1210	1220	119	0.8761	-26.016
1217	2337	119	0.8798	-68.063
1074	1215	119	0.7774	23.998
1055	2337	119	0.939	-42.047
1074	2337	119	0.7764	-16.034
1055	1217	119	0.9381	26.016
1055	1220	119	0.9064	2.016
1063	1215	119	0.8516	24.000
1063	1220	119	0.9117	28.032
1063	1210	119	0.9173	54.047
1074	1210	119	0.8162	54.045
1063	2337	119	0.8731	-16.031
1215	2337	119	0.8662	-40.031
1055	1215	119	0.9159	-2.015
1210	2337	119	0.856	-70.078
1215	1220	119	0.8282	4.031
1055	1074	119	0.7866	-26.013
1220	2337	119	0.7932	-44.063
1217	1220	119	0.8285	-24.000
2119	2124	120	0.7804	26.015
2116	2122	120	0.7112	26.016
2116	2124	120	0.7071	12.000
2122	2127	120	0.9595	2.015
2122	2124	120	0.8048	-14.017
2116	2119	120	0.7957	-14.016
2116	2127	120	0.7285	28.031
634	809	121	0.8525	-15.019
1853	2178	123	0.8854	49.980
1853	1878	123	0.7928	-15.995
1009	1017	126	0.9491	0.001
2423	2558	127	0.8672	58.078
2423	2433	127	0.8641	30.046
2433	2558	127	0.9176	28.032
2380	2381	129	0.9229	33.961
1796	1805	130	0.9277	-12.000
883	888	133	0.9624	14.016
929	951	134	0.9665	-18.010
1450	1487	136	0.7316	-0.001
895	909	137	0.784	-2.016
961	1711	139	0.7382	-15.996
1069	1133	141	0.7799	-462.050
1894	2200	147	0.8978	0.001
1059	1070	148	0.9815	-35.976
957	1863	151	0.9747	-237.157
1461	1766	160	0.7504	14.016
