row ID,row m/z,row retention time,19-131_pos_A.mzML Peak area,19-41.2_neg_A.mzML Peak area,19-55_neg_C.mzML Peak area,19-12.2_neg_C.mzML Peak area,19-4_neg_C.mzML Peak area,17-20_neg_B.mzML Peak area,19-84_neg_A.mzML Peak area,19-4_neg_B.mzML Peak area,17-10_neg_B.mzML Peak area,19-55_pos_C.mzML Peak area,19-8_neg_C.mzML Peak area,18-22_neg_C.mzML Peak area,19-98_neg_B.mzML Peak area,19-195_neg_C.mzML Peak area,19-10.1_neg_B.mzML Peak area,17-10_neg_C.mzML Peak area,18-22_neg_B.mzML Peak area,19-84_neg_B.mzML Peak area,17-10_neg_A.mzML Peak area,19-197_neg_A.mzML Peak area,19-41.2_pos_B.mzML Peak area,17-20_neg_C.mzML Peak area,19-55_neg_A.mzML Peak area,19-4_pos_B.mzML Peak area,19-196_neg_B.mzML Peak area,19-131_neg_B.mzML Peak area,19-84_neg_C.mzML Peak area,19-282_neg_B.mzML Peak area,19-13.4_neg_B.mzML Peak area,19-131_pos_C.mzML Peak area,19-196_pos_C.mzML Peak area,19-12.2_neg_A.mzML Peak area,19-41.2_neg_B.mzML Peak area,19-114_neg_A.mzML Peak area,19-131_pos_B.mzML Peak area,19-13.4_neg_A.mzML Peak area,19-8_neg_A.mzML Peak area,19-196_neg_A.mzML Peak area,19-12.2_pos_A.mzML Peak area,17-20_neg_A.mzML Peak area,19-8_neg_B.mzML Peak area,19-41.2_pos_C.mzML Peak area,19-55_pos_A.mzML Peak area,18-22_pos_B.mzML Peak area,17-10_pos_C.mzML Peak area,19-10.1_pos_C.mzML Peak area,19-55_neg_B.mzML Peak area,19-84_pos_C.mzML Peak area,19-197_neg_B.mzML Peak area,17-10_pos_A.mzML Peak area,19-4_neg_A.mzML Peak area,19-41.2_neg_C.mzML Peak area,19-13.4_neg_C.mzML Peak area,18-22_neg_A.mzML Peak area,19-10.1_neg_C.mzML Peak area,19-98_neg_C.mzML Peak area,19-197_neg_C.mzML Peak area,19-196_neg_C.mzML Peak area,19-131_neg_A.mzML Peak area,19-282_neg_C.mzML Peak area,19-388_neg_C.mzML Peak area,19-12.2_neg_B.mzML Peak area,19-131_neg_C.mzML Peak area,19-55_pos_B.mzML Peak area,19-98_neg_A.mzML Peak area,19-114_neg_C.mzML Peak area,19-195_neg_B.mzML Peak area,19-84_pos_B.mzML Peak area,19-4_pos_C.mzML Peak area,19-114_neg_B.mzML Peak area,19-4_pos_A.mzML Peak area,19-114_pos_C.mzML Peak area,19-10.1_neg_A.mzML Peak area,19-13.4_pos_C.mzML Peak area,19-12.2_pos_B.mzML Peak area,19-41.2_pos_A.mzML Peak area,19-114_pos_B.mzML Peak area,19-195_pos_B.mzML Peak area,19-12.2_pos_C.mzML Peak area,19-114_pos_A.mzML Peak area,19-84_pos_A.mzML Peak area,19-13.4_pos_A.mzML Peak area,19-8_pos_B.mzML Peak area,17-10_pos_B.mzML Peak area,19-196_pos_B.mzML Peak area,19-10.1_pos_A.mzML Peak area,19-251_neg_C.mzML Peak area,19-251_neg_A.mzML Peak area,19-388_neg_B.mzML Peak area,19-282_neg_A.mzML Peak area,19-195_neg_A.mzML Peak area,19-251_pos_B.mzML Peak area,19-197_pos_C.mzML Peak area,19-251_pos_C.mzML Peak area,19-251_neg_B.mzML Peak area,19-13.4_pos_B.mzML Peak area,19-388_neg_A.mzML Peak area,19-98_pos_B.mzML Peak area,18-22_pos_A.mzML Peak area,19-8_pos_A.mzML Peak area,19-196_pos_A.mzML Peak area,19-251_pos_A.mzML Peak area,19-388_pos_B.mzML Peak area,19-282_pos_A.mzML Peak area,19-197_pos_A.mzML Peak area,19-197_pos_B.mzML Peak area,19-98_pos_A.mzML Peak area,19-195_pos_C.mzML Peak area,19-282_pos_B.mzML Peak area,19-98_pos_C.mzML Peak area,19-282_pos_C.mzML Peak area,17-20_pos_A.mzML Peak area,19-8_pos_C.mzML Peak area,19-10.1_pos_B.mzML Peak area,17-20_pos_B.mzML Peak area,19-195_pos_A.mzML Peak area,18-22_pos_C.mzML Peak area,19-388_pos_A.mzML Peak area,19-388_pos_C.mzML Peak area,17-20_pos_C.mzML Peak area
222,798.3234151204430,3.315227777777670,577192.8027867250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621514.1050828710,0,0,0,0,524139.010110719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,997.4591776529950,3.370427777777670,475475.419410043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502509.62016469400,0,0,0,0,472366.92561328300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,991.4313252766930,3.563616666666670,468997.2015458890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469953.01444515500,0,0,0,0,475303.23415341700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,593.2745638760650,6.509398484848490,694346.9652453950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692520.1704043260,114316.44238921600,0,0,0,709351.8431347510,0,0,0,0,0,0,0,0,0,511385.6721509670,0,0,125715.01030883800,0,550619.5074453400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159604.6135166020,0,0,0,1750703.9023119100,0,561553.4212623810,0,0,1618506.8563447300,109238.4512897720,0,1697178.7264674300,317157.5722722610,655544.3251194710,436611.698964913,526744.0716524420,145797.66085693400,0,0,0,0,0,0,0,0,0,0,618451.1722217530,0,173863.2218928680,0,295157.4545020670,154166.37278906200,0,999649.8418100750,0,0,0,196577.0563360530,128951.38977035500,0,177690.2014441050,0,176755.5211432510,482479.3505776230,0,189277.4175936790,113620.63955562800,0,977349.3867730880,957798.532067991,176332.42699222900
235,639.3150705736740,6.627283720930160,352835.8294365990,0,0,0,0,0,0,0,0,6420520.780994160,0,0,0,0,0,0,0,0,0,0,0,0,0,175274.22051364800,0,0,0,0,0,456944.42526819800,194786.63055340600,0,0,0,338928.2496096930,0,0,0,0,0,0,0,6185934.270763720,0,87617.79982265830,0,0,1600160.204575200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6260301.427242650,0,0,0,1562226.6405234400,86623.41411914090,0,172986.02486624000,164562.9991434800,0,318936.9199419850,0,0,161248.45408593800,1737924.5999158100,0,147748.82375390700,1222062.3192290800,207446.96064783000,641725.7537109380,76142.44558063440,114231.4452070310,0,0,0,0,0,0,569940.6762092170,625084.1010052530,572601.2663737800,0,310065.5783572320,0,468166.64414062500,0,687439.6766529630,116034.70225781300,514226.74002650400,0,0,586500.3628808100,602335.5288398440,478892.5406270200,1786307.493843470,0,493705.798225586,0,264486.76242187400,657027.5802187500,0,372857.1607838280,1674473.0474374600,0,137952.76373910400,126317.32941796800,389970.2725172630
240,313.2728648938630,5.1829432748537000,657539.2890417750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196097.45106112200,0,0,235791.85306993800,0,0,0,0,0,603658.5786315570,822569.7907407010,0,0,0,676155.3352499540,0,0,0,234139.93081552200,0,0,200853.77264375600,0,1098465.0650179700,861591.029862027,236138.86006137100,0,314178.05895016000,0,843376.0840063590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301159.69410204600,234194.44943408200,0,223534.9339980460,627764.9381938490,0,591317.5938668060,228109.86239219700,190748.85748107700,620698.7745529430,431209.15554099200,236378.63648596400,634653.8913803220,299903.14430445300,583410.1265540010,726872.0527311380,854114.224867127,753126.4540772340,232139.8127457300,0,0,0,0,0,276158.85308369000,240792.25099861900,279018.16665450500,0,535753.7006712340,0,539499.1408322990,1136132.0673902900,705484.3314403210,761681.1901483910,266990.22570007000,670700.1608365520,541507.4831207570,247124.094895821,245208.33752260000,602932.2612881010,436007.6310228380,509592.3916583470,575716.2948094660,551847.7129945520,512940.57714550400,700314.336242779,235208.97795465200,474130.7480876030,439494.29894091200,1095282.229412680,688754.5346013890,717410.0891170050,518441.98348401800
247,537.3020538979390,4.915001773049700,414026.0018481460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101170.41729921400,0,0,154490.79933317900,0,0,0,0,0,432620.8571720100,133995.94291281000,0,0,0,432653.465785857,0,0,0,239538.29800944000,0,0,114143.24477995500,0,141786.54067498400,111368.32931893400,0,0,219835.93725941200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233329.7792096160,141304.94993395200,0,148611.9587905890,644760.9928916020,0,325255.9916645510,228675.7900083990,96326.81214541510,673162.6524208480,419956.43149190800,254910.36575815200,622571.6283376170,241788.72474261500,325669.9232588940,598553.7571300200,122872.99197439200,129557.27357864400,0,0,0,0,0,0,0,0,0,0,313504.28396667700,0,507515.0157391460,138540.88450887900,591287.0591490360,122703.57859145400,0,313335.32141426800,466724.8729003490,0,0,521179.62332801300,385345.49051953200,479629.5406631660,554999.3623257870,509454.9612830710,280574.4280586730,632176.1605895760,0,283608.2586533200,408421.1741308590,140707.80326354800,320829.1770987040,326523.15294899700,281832.9826032940
251,331.28334554036500,5.185363742689960,480707.3113341120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174573.92019821100,0,0,183190.9442636350,0,0,0,0,0,454960.87408237400,598630.2128721600,0,0,0,483136.97521840200,0,0,0,202521.37906787700,0,0,175853.17620495400,0,889888.6180250150,622168.8238709130,166571.2857436520,0,252970.53041435700,0,617147.1042495120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254573.34176278900,184984.1672036130,0,196105.50641162000,551622.9881777360,0,447516.48282714900,191113.5011538860,178709.59608273600,526188.0566795190,379117.83207661400,211786.99168740200,564248.3078230840,261650.8027941170,449353.1221932290,602665.2590815120,608710.4419541140,582721.3858489820,158872.0123168950,0,0,0,0,0,203855.54962060400,195296.1942011880,214172.65562255900,0,450635.5616492120,0,483039.9736377840,951362.2100347930,586267.2739489090,586322.6405179820,202514.43610356400,545156.725355441,415105.21803011400,194712.7980851880,193203.608430875,475108.3343333200,399772.8285302740,423580.1326592670,452040.06251897700,432897.8453456590,441444.8482314360,595445.0974012520,160692.7077491740,430349.0652880270,390899.63513341300,926179.3438503790,563875.2171763260,539826.9901831060,423533.601366265
253,1001.4164733886700,3.7568055555556700,280601.935333071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283458.9862085120,0,0,0,0,301334.44792404200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,791.5262407575340,6.704448809523710,498017.5948687240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480580.4595346170,423235.80333516900,0,0,0,490316.59367268900,0,0,0,0,0,0,0,0,0,0,557360.8689729930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369402.9339198300,581855.3677290150,0,0,0,0,0,264975.6711157990,0,0,0,0,0,0,0,0,379987.99445321800,178934.7492168620,976891.4246731800,0,0,0,0,0,0,0,0,0,0,577957.4725255760,0,0,0,984924.3203833170,968962.1212768180,0
