19-197_neg_A,19-197_neg_B,19-197_neg_C,19-197_pos_A,19-197_pos_B,19-197_pos_C,19-197_neg_A_c41,19-197_neg_A_c134,19-197_neg_A_c165,19-197_neg_A_c203,19-197_neg_A_c305,19-197_neg_A_c541,19-197_neg_A_c595,19-197_neg_A_c672,19-197_neg_A_c1040,19-197_neg_A_c1232,19-197_neg_A_c1263,19-197_neg_A_c1283,19-197_neg_A_c1433,19-197_neg_A_c1528,19-197_neg_A_c1596,19-197_neg_A_c1619,19-197_neg_A_c1661,19-197_neg_A_c1710,,,,,,,,,,,,,,,,,,,,,,,,
19-251_neg_A,19-251_neg_B,19-251_neg_C,19-251_pos_A,19-251_pos_B,19-251_pos_C,19-251_neg_A_c1783,19-251_neg_A_c2460,19-251_neg_A_c2474,19-251_neg_A_c5450,19-251_neg_A_c362,19-251_neg_A_c736,19-251_neg_A_c747,19-251_neg_A_c2208,19-251_neg_A_c2262,19-251_neg_A_c2700,19-251_neg_A_c3459,19-251_neg_A_c5136,19-251_neg_A_c5215,19-251_neg_A_c5428,19-251_neg_A_c5717,19-251_neg_A_c5773, 19-251_neg_A_c5925,19-251_neg_A_c6232,19-251_neg_A_c3745,,,,,,,,,,,,,,,,,,,,,,,
19-282_neg_A,19-282_neg_B,19-282_neg_C,19-282_pos_A,19-282_pos_B,19-282_pos_C,19-282_neg_A_c248,19-282_neg_A_c284,19-282_neg_A_c357,19-282_neg_A_c392,19-282_neg_A_c608,19-282_neg_A_c824,19-282_neg_A_c862,19-282_neg_A_c879,19-282_neg_A_c908,19-282_neg_A_c912,19-282_neg_A_c973,19-282_neg_A_c987,19-282_neg_A_c1105,19-282_neg_A_c1357,19-282_neg_A_c1466,19-282_neg_A_c1537,19-282_neg_A_c1946,19-282_neg_A_c2049,19-282_neg_A_c2073,19-282_neg_A_c2079,19-282_neg_A_c2100,19-282_neg_A_c2121,19-282_neg_A_c2155,19-282_neg_A_c2459,19-282_neg_A_c2506,19-282_neg_A_c2527,19-282_neg_A_c2785,19-282_neg_A_c2839,19-282_neg_A_c2888,19-282_neg_A_c2894,19-282_neg_A_c2905,19-282_neg_A_c2996,19-282_neg_A_c3008,19-282_neg_A_c3084,19-282_neg_A_c3129,19-282_neg_A_c3150,19-282_neg_A_c3186,19-282_neg_A_c3300,19-282_neg_A_c3444,19-282_neg_A_c3569,19-282_neg_A_c3655,19-282_neg_A_c3737
19-338_neg_A_c598,19-338_neg_A_c744,19-338_neg_A_c1170,19-338_neg_A_c1352,19-338_neg_A_c1587,19-338_neg_A_c1846,19-338_neg_A_c2124,19-338_neg_A_c2488,19-338_neg_A_c3005,19-338_neg_A_c3302,19-338_neg_A_c3832,19-338_neg_A_c4483,19-338_neg_A_c5166,19-338_neg_A_c5286,19-338_neg_A_c5624,19-338_neg_A_c5636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-388_neg_A,19-388_neg_B,19-388_neg_C,19-388_pos_A,19-388_pos_B,19-388_pos_C,19-388_neg_A_c138,19-388_neg_A_c261,19-388_neg_A_c648,19-388_neg_A_c656,19-388_neg_A_c737,19-925_neg_A_c925,19-388_neg_A_c1213,19-388_neg_A_c1247,19-388_neg_A_c1386,19-388_neg_A_c1462,19-388_neg_A_c1527,19-388_neg_A_c1551,19-388_neg_A_c1637,19-388_neg_A_c1751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-4_neg_A,19-4_neg_B,19-4_neg_C,19-4_pos_A,19-4_pos_B,19-4_pos_C,19-4_neg_A_c2066,19-4_neg_A_c2350,19-4_neg_A_c2797,19-4_neg_A_c3108,19-4_neg_A_c3413,19-4_neg_A_c3972,19-4_neg_A_c4680,19-4_neg_A_c9712,19-4_neg_A_c10749,19-4_neg_A_c10937,19-4_neg_A_c10947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-41.2_neg_A,19-41.2_neg_B,19-41.2_neg_C,19-41.2_pos_A,19-41.2_pos_B,19-41.2_pos_C,19-41.2_neg_A_c238,19-41.2_neg_A_c498,19-41.2_neg_A_c635,19-41.2_neg_A_c713,19-41.2_neg_A_c722,19-41.2_neg_A_c798,19-41.2_neg_A_c831,19-41.2_neg_A_c874,19-41.2_neg_A_c1009,19-41.2_neg_A_c1142,19-41.2_neg_A_c1247,19-41.2_neg_A_c1485,19-41.2_neg_A_c1507,19-41.2_neg_A_c1586,19-41.2_neg_A_c1680,19-41.2_neg_A_c1829,19-41.2_neg_A_c1846,19-41.2_neg_A_c1858,,,,,,,,,,,,,,,,,,,,,,,,
19-55_neg_A,19-55_neg_B,19-55_neg_C,19-55_pos_A,19-55_pos_B,19-55_pos_C,19-55_neg_A_c132,19-55_neg_A_c204,19-55_neg_A_c277,19-55_neg_A_c386,19-55_neg_A_c498,19-55_neg_A_c505,19-55_neg_A_c538,19-55_neg_A_c554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-8_neg_A,19-8_neg_B,19-8_neg_C,19-8_pos_A,19-8_pos_B, 19-8_pos_C,19-8_neg_A_c775,19-8_neg_A_c1375,19-8_neg_A_c2370,19-8_neg_A_c3189,19-8_neg_A_c5369,19-8_neg_A_c5524,19-8_neg_A_c5764,19-8_neg_A_c5910,19-8_neg_A_c6983,19-8_neg_A_c7468,19-8_neg_A_c9506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-84_neg_A,19-84_neg_B,19-84_neg_C,19-84_pos_A,19-84_pos_B,19-84_pos_C,19-84_neg_A_c125,19-84_neg_A_c150,19-84_neg_A_c275,19-84_neg_A_c326,19-84_neg_A_c590,19-84_neg_A_c706,19-84_neg_A_c731,19-84_neg_A_c777,19-84_neg_A_c783,19-84_neg_A_c933,19-84_neg_A_c1400,19-84_neg_A_c1417,19-84_neg_A_c1474,19-84_neg_A_c1528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-98_neg_A,19-98_neg_B,19-98_neg_C,19-98_pos_A,19-98_pos_B, 19-98_pos_C,19-98_neg_A_c990,19-98_neg_A_c1015,19-98_neg_A_c1351,19-98_neg_A_c2127,19-98_neg_A_c2282,19-98_neg_A_c2355,19-98_neg_A_c2675,19-98_neg_A_c2852,19-98_neg_A_c2871,19-98_neg_A_c3158,19-98_neg_A_c3925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
